Adult Occupant,Child Occupant,Vulnerable Road Users,Safety Assist,Tested Model,Body Type,Year Of Publication,Kerb Weight,VIN From Which Rating Applies,Class,Front Airbag-Driver,Belt Pretensioner-Driver,Belt Loadlimiter-Driver,Knee Airbag-Driver,Side Head Airbag-Driver,Side Chest Airbag-Driver,Side Pelvis Airbag-Driver,Rate
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,0 1,continuous,continuous
,,,,,,,,,,,,,,,,,class
84.0,89.0,81.0,81.0,97.0,11.0,2022.0,2532.0,139.0,4.0,0,0,0,0.0,0.0,0,0.0,5.0
87.0,87.0,68.0,88.0,29.0,25.0,2022.0,1423.0,199.0,10.0,0,0,0,1.0,0.0,0,0.0,5.0
75.0,84.0,70.0,69.0,66.0,11.0,2022.0,1334.0,125.0,12.0,0,0,0,1.0,0.0,0,0.0,4.0
84.0,90.0,74.0,84.0,221.0,22.0,2022.0,2434.0,280.0,6.0,0,0,0,0.0,0.0,0,2.0,5.0
84.0,89.0,71.0,85.0,47.0,11.0,2022.0,2123.0,14.0,4.0,0,0,0,1.0,0.0,0,2.0,5.0
90.0,87.0,89.0,91.0,114.0,11.0,2022.0,2124.0,173.0,4.0,0,0,0,0.0,0.0,0,0.0,5.0
90.0,91.0,78.0,84.0,116.0,6.0,2022.0,2371.0,176.0,1.0,0,0,0,0.0,0.0,0,0.0,5.0
93.0,89.0,73.0,83.0,126.0,10.0,2022.0,2410.0,180.0,3.0,0,0,0,1.0,0.0,0,0.0,5.0
92.0,90.0,74.0,84.0,140.0,11.0,2022.0,2000.0,21.0,10.0,0,0,0,0.0,0.0,0,0.0,5.0
83.0,80.0,75.0,78.0,124.0,9.0,2022.0,1685.0,179.0,8.0,0,0,0,1.0,0.0,0,0.0,5.0
84.0,89.0,81.0,81.0,97.0,11.0,2022.0,2532.0,139.0,4.0,0,0,0,0.0,0.0,0,0.0,5.0
87.0,87.0,68.0,88.0,29.0,25.0,2022.0,1423.0,199.0,10.0,0,0,0,1.0,0.0,0,0.0,5.0
75.0,84.0,70.0,69.0,66.0,11.0,2022.0,1334.0,125.0,12.0,0,0,0,1.0,0.0,0,0.0,4.0
84.0,90.0,74.0,84.0,221.0,22.0,2022.0,2434.0,280.0,6.0,0,0,0,0.0,0.0,0,2.0,5.0
84.0,89.0,71.0,85.0,47.0,11.0,2022.0,2123.0,14.0,4.0,0,0,0,1.0,0.0,0,2.0,5.0
90.0,87.0,89.0,91.0,114.0,11.0,2022.0,2124.0,173.0,4.0,0,0,0,0.0,0.0,0,0.0,5.0
90.0,91.0,78.0,84.0,116.0,6.0,2022.0,2371.0,176.0,1.0,0,0,0,0.0,0.0,0,0.0,5.0
93.0,89.0,73.0,83.0,126.0,10.0,2022.0,2410.0,180.0,3.0,0,0,0,1.0,0.0,0,0.0,5.0
92.0,90.0,74.0,84.0,140.0,11.0,2022.0,2000.0,21.0,10.0,0,0,0,0.0,0.0,0,0.0,5.0
83.0,80.0,75.0,78.0,124.0,9.0,2022.0,1685.0,179.0,8.0,0,0,0,1.0,0.0,0,0.0,5.0
76.0,84.0,78.0,65.0,170.0,16.0,2022.0,1397.0,46.0,8.0,0,0,0,1.0,0.0,0,2.0,4.0
84.0,90.0,74.0,84.0,221.0,22.0,2022.0,2434.0,279.0,6.0,0,0,0,0.0,0.0,0,2.0,5.0
92.0,87.0,60.0,90.0,225.0,27.0,2022.0,2384.0,146.0,3.0,0,0,0,1.0,0.0,0,2.0,5.0
77.0,81.0,62.0,66.0,234.0,10.0,2022.0,1520.0,1.0,9.0,0,0,0,0.0,0.0,0,2.0,4.0
79.0,86.0,67.0,67.0,42.0,14.0,2022.0,1869.0,100.0,2.0,0,0,0,1.0,0.0,0,0.0,4.0
89.0,87.0,82.0,83.0,75.0,14.0,2022.0,1458.0,81.0,8.0,0,0,0,0.0,0.0,0,2.0,5.0
97.0,87.0,66.0,90.0,81.0,6.0,2022.0,1910.0,149.0,2.0,0,0,0,1.0,0.0,0,0.0,5.0
86.0,86.0,69.0,83.0,92.0,5.0,2022.0,2030.0,95.0,6.0,0,0,0,0.0,0.0,0,2.0,5.0
84.0,87.0,72.0,82.0,177.0,11.0,2022.0,2524.0,218.0,4.0,0,0,0,1.0,0.0,0,0.0,5.0
85.0,85.0,69.0,82.0,179.0,11.0,2022.0,2727.0,182.0,4.0,0,0,0,1.0,0.0,0,0.0,5.0
91.0,87.0,73.0,95.0,152.0,6.0,2022.0,2379.0,116.0,1.0,0,0,0,1.0,0.0,0,0.0,5.0
86.0,89.0,74.0,93.0,153.0,11.0,2022.0,1914.0,55.0,10.0,0,0,0,1.0,0.0,0,2.0,5.0
88.0,83.0,69.0,87.0,181.0,10.0,2022.0,1502.0,61.0,3.0,0,0,0,1.0,0.0,0,2.0,5.0
96.0,89.0,71.0,88.0,247.0,11.0,2022.0,1820.0,288.0,10.0,0,0,0,1.0,0.0,0,0.0,5.0
88.0,87.0,79.0,91.0,220.0,11.0,2022.0,2060.0,231.0,10.0,0,0,0,1.0,0.0,0,0.0,5.0
94.0,91.0,85.0,98.0,207.0,6.0,2022.0,2095.0,193.0,1.0,0,0,0,1.0,0.0,0,0.0,5.0
88.0,87.0,79.0,91.0,220.0,11.0,2022.0,2060.0,278.0,10.0,0,0,0,1.0,0.0,0,0.0,5.0
85.0,83.0,87.0,82.0,212.0,11.0,2022.0,1500.0,89.0,10.0,0,0,0,0.0,0.0,0,0.0,5.0
94.0,87.0,73.0,93.0,245.0,11.0,2022.0,2100.0,86.0,10.0,0,0,0,1.0,0.0,0,0.0,5.0
88.0,81.0,79.0,92.0,15.0,10.0,2022.0,1521.0,33.0,8.0,0,0,0,1.0,0.0,0,0.0,5.0
86.0,89.0,76.0,92.0,22.0,11.0,2022.0,1654.0,266.0,10.0,0,0,0,1.0,0.0,0,0.0,5.0
91.0,89.0,69.0,74.0,28.0,11.0,2022.0,1750.0,53.0,10.0,0,0,0,1.0,0.0,0,0.0,5.0
95.0,91.0,83.0,81.0,48.0,6.0,2022.0,2355.0,112.0,1.0,0,0,0,0.0,0.0,0,2.0,5.0
80.0,79.0,69.0,71.0,149.0,14.0,2022.0,1600.0,174.0,8.0,0,0,0,1.0,0.0,0,0.0,4.0
83.0,83.0,65.0,70.0,189.0,14.0,2022.0,1140.0,17.0,10.0,0,0,0,1.0,0.0,0,0.0,5.0
83.0,82.0,66.0,70.0,191.0,14.0,2022.0,1079.0,16.0,8.0,0,0,0,1.0,0.0,0,0.0,5.0
88.0,87.0,74.0,82.0,223.0,14.0,2022.0,1316.0,138.0,8.0,0,0,0,1.0,0.0,0,2.0,5.0
82.0,87.0,69.0,66.0,35.0,14.0,2022.0,1734.0,72.0,1.0,0,0,0,1.0,0.0,0,2.0,4.0
89.0,87.0,63.0,88.0,70.0,11.0,2022.0,2095.0,133.0,10.0,0,0,0,0.0,0.0,0,0.0,5.0
91.0,84.0,75.0,60.0,103.0,11.0,2022.0,1682.0,198.0,10.0,0,0,0,0.0,0.0,0,0.0,4.0
91.0,84.0,76.0,79.0,103.0,11.0,2022.0,1682.0,198.0,10.0,0,0,0,0.0,0.0,0,0.0,5.0
88.0,91.0,89.0,76.0,119.0,11.0,2022.0,2081.0,178.0,4.0,0,0,0,0.0,0.0,0,0.0,5.0
92.0,83.0,74.0,93.0,158.0,14.0,2022.0,1580.0,128.0,8.0,0,0,0,1.0,0.0,0,0.0,5.0
97.0,87.0,82.0,98.0,150.0,11.0,2022.0,1979.0,194.0,10.0,0,0,0,1.0,0.0,0,0.0,5.0
91.0,87.0,79.0,94.0,244.0,11.0,2022.0,2365.0,85.0,4.0,0,0,0,0.0,0.0,0,0.0,5.0
87.0,87.0,71.0,64.0,26.0,6.0,2022.0,2050.0,285.0,2.0,0,0,0,1.0,0.0,0,2.0,4.0
83.0,85.0,67.0,85.0,4.0,11.0,2022.0,1626.0,249.0,10.0,0,0,0,1.0,0.0,0,2.0,5.0
93.0,89.0,73.0,80.0,37.0,14.0,2022.0,1782.0,94.0,8.0,0,0,0,1.0,0.0,0,2.0,5.0
87.0,86.0,66.0,72.0,108.0,11.0,2022.0,1748.0,232.0,10.0,0,0,0,1.0,0.0,0,0.0,5.0
91.0,93.0,69.0,90.0,142.0,10.0,2022.0,1544.0,80.0,9.0,0,0,0,1.0,0.0,0,2.0,5.0
91.0,93.0,69.0,90.0,142.0,10.0,2022.0,1544.0,241.0,9.0,0,0,0,1.0,0.0,0,2.0,5.0
78.0,78.0,74.0,81.0,210.0,14.0,2022.0,990.0,62.0,12.0,0,0,0,1.0,0.0,0,0.0,4.0
90.0,86.0,64.0,87.0,102.0,14.0,2022.0,2105.0,166.0,2.0,0,0,0,1.0,0.0,0,0.0,5.0
93.0,89.0,80.0,82.0,134.0,6.0,2022.0,1625.0,19.0,2.0,0,0,0,0.0,0.0,0,0.0,5.0
80.0,82.0,67.0,66.0,162.0,14.0,2022.0,1330.0,59.0,8.0,0,0,0,1.0,0.0,0,2.0,4.0
76.0,84.0,68.0,65.0,170.0,16.0,2022.0,1397.0,42.0,8.0,0,0,0,1.0,0.0,0,2.0,4.0
92.0,89.0,70.0,89.0,239.0,14.0,2022.0,2149.0,70.0,10.0,0,0,0,0.0,0.0,0,0.0,5.0
90.0,89.0,69.0,87.0,227.0,10.0,2022.0,2050.0,259.0,0.0,0,0,0,1.0,0.0,0,2.0,5.0
85.0,86.0,74.0,65.0,43.0,14.0,2022.0,1660.0,101.0,8.0,0,0,0,1.0,0.0,0,2.0,4.0
85.0,86.0,74.0,82.0,43.0,14.0,2022.0,1660.0,102.0,8.0,0,0,0,1.0,0.0,0,2.0,5.0
82.0,75.0,72.0,78.0,76.0,11.0,2022.0,1389.0,141.0,10.0,0,0,0,1.0,0.0,0,2.0,4.0
82.0,81.0,67.0,64.0,17.0,2.0,2022.0,1682.0,34.0,8.0,0,0,0,1.0,0.0,0,2.0,4.0
91.0,87.0,83.0,91.0,113.0,11.0,2022.0,1810.0,197.0,10.0,0,0,0,0.0,0.0,0,0.0,5.0
85.0,88.0,65.0,79.0,131.0,14.0,2022.0,1636.0,187.0,8.0,0,0,0,1.0,0.0,0,2.0,5.0
94.0,80.0,70.0,70.0,229.0,14.0,2022.0,1158.0,206.0,12.0,0,0,0,1.0,0.0,0,0.0,5.0
94.0,84.0,71.0,70.0,229.0,14.0,2022.0,1216.0,244.0,10.0,0,0,0,1.0,0.0,0,0.0,5.0
91.0,90.0,70.0,95.0,246.0,19.0,2021.0,1599.0,265.0,4.0,0,0,0,1.0,0.0,0,2.0,5.0
76.0,82.0,76.0,67.0,79.0,11.0,2021.0,1230.0,292.0,12.0,0,0,0,1.0,0.0,0,0.0,4.0
70.0,69.0,41.0,39.0,45.0,14.0,2021.0,1111.0,156.0,12.0,0,0,0,1.0,0.0,0,0.0,1.0
84.0,82.0,69.0,79.0,236.0,10.0,2021.0,1767.0,251.0,9.0,0,0,0,1.0,0.0,0,2.0,5.0
93.0,89.0,76.0,85.0,237.0,11.0,2021.0,2029.0,258.0,10.0,0,0,0,1.0,0.0,0,0.0,5.0
91.0,87.0,73.0,81.0,27.0,11.0,2021.0,2573.0,286.0,4.0,0,0,0,1.0,0.0,0,2.0,5.0
49.0,56.0,39.0,32.0,46.0,14.0,2021.0,970.0,233.0,12.0,0,0,0,1.0,0.0,0,2.0,1.0
76.0,80.0,67.0,67.0,49.0,3.0,2021.0,1328.0,47.0,12.0,0,0,0,1.0,0.0,0,2.0,4.0
89.0,87.0,76.0,88.0,68.0,12.0,2021.0,1842.0,130.0,1.0,0,0,0,0.0,0.0,0,0.0,5.0
89.0,87.0,64.0,87.0,71.0,11.0,2021.0,2020.0,134.0,4.0,0,0,0,0.0,0.0,0,0.0,5.0
96.0,91.0,76.0,80.0,147.0,14.0,2021.0,2480.0,113.0,1.0,0,0,0,0.0,0.0,0,2.0,5.0
80.0,75.0,55.0,80.0,121.0,11.0,2021.0,1840.0,184.0,10.0,0,0,0,1.0,0.0,0,0.0,4.0
91.0,91.0,70.0,95.0,157.0,11.0,2021.0,1503.0,216.0,10.0,0,0,0,1.0,0.0,0,2.0,5.0
78.0,87.0,67.0,72.0,184.0,10.0,2021.0,1531.0,252.0,9.0,0,0,0,1.0,0.0,0,2.0,4.0
43.0,52.0,41.0,14.0,187.0,14.0,2021.0,1563.0,277.0,12.0,0,0,0,1.0,1.0,0,2.0,0.0
84.0,82.0,69.0,79.0,236.0,10.0,2021.0,1767.0,28.0,9.0,0,0,0,1.0,0.0,0,2.0,5.0
85.0,81.0,70.0,71.0,249.0,14.0,2021.0,1199.0,121.0,8.0,0,0,0,2.0,0.0,0,0.0,5.0
92.0,86.0,69.0,82.0,64.0,11.0,2021.0,2103.0,183.0,10.0,0,0,0,0.0,0.0,0,0.0,5.0
76.0,82.0,76.0,67.0,79.0,11.0,2021.0,1230.0,63.0,10.0,0,0,0,1.0,0.0,0,0.0,4.0
88.0,86.0,63.0,88.0,80.0,11.0,2021.0,1910.0,148.0,10.0,0,0,0,1.0,0.0,0,0.0,5.0
86.0,87.0,66.0,70.0,86.0,11.0,2021.0,1633.0,243.0,10.0,0,0,0,1.0,0.0,0,0.0,5.0
86.0,84.0,78.0,81.0,217.0,11.0,2021.0,1270.0,272.0,10.0,0,0,0,1.0,0.0,0,0.0,5.0
93.0,89.0,66.0,80.0,10.0,11.0,2021.0,2125.0,212.0,4.0,0,0,0,1.0,0.0,0,0.0,5.0
96.0,87.0,71.0,81.0,117.0,11.0,2021.0,1755.0,177.0,10.0,0,0,0,1.0,0.0,0,2.0,5.0
82.0,84.0,72.0,92.0,151.0,11.0,2021.0,2435.0,115.0,4.0,0,0,0,1.0,0.0,0,0.0,5.0
88.0,89.0,84.0,95.0,201.0,12.0,2021.0,1649.0,201.0,2.0,0,0,0,0.0,0.0,0,0.0,5.0
88.0,85.0,80.0,82.0,215.0,7.0,2021.0,1950.0,191.0,1.0,0,0,0,0.0,0.0,0,0.0,5.0
73.0,75.0,58.0,64.0,165.0,11.0,2021.0,1217.0,3.0,10.0,0,0,0,1.0,0.0,0,2.0,4.0
78.0,87.0,67.0,72.0,184.0,10.0,2021.0,1531.0,161.0,9.0,0,0,0,1.0,0.0,0,2.0,4.0
80.0,83.0,57.0,63.0,34.0,14.0,2021.0,1305.0,69.0,8.0,0,0,0,1.0,0.0,0,2.0,4.0
91.0,87.0,77.0,91.0,69.0,6.0,2021.0,1910.0,131.0,1.0,0,0,0,0.0,0.0,0,0.0,5.0
91.0,87.0,66.0,88.0,72.0,11.0,2021.0,2070.0,135.0,4.0,0,0,0,0.0,0.0,0,0.0,5.0
70.0,72.0,41.0,42.0,45.0,14.0,2021.0,1111.0,175.0,8.0,0,0,0,1.0,0.0,0,0.0,2.0
70.0,72.0,41.0,42.0,45.0,14.0,2021.0,1111.0,226.0,12.0,0,0,0,1.0,0.0,0,0.0,2.0
93.0,89.0,76.0,85.0,237.0,11.0,2021.0,2029.0,257.0,10.0,0,0,0,1.0,0.0,0,0.0,5.0
94.0,89.0,71.0,82.0,248.0,11.0,2021.0,1940.0,108.0,4.0,0,0,0,1.0,0.0,0,2.0,5.0
93.0,88.0,68.0,80.0,38.0,11.0,2021.0,1362.0,127.0,10.0,0,0,0,2.0,0.0,0,0.0,5.0
93.0,89.0,80.0,83.0,173.0,20.0,2021.0,2173.0,205.0,1.0,0,0,0,1.0,0.0,0,0.0,5.0
86.0,81.0,78.0,85.0,219.0,14.0,2020.0,1175.0,6.0,8.0,0,0,0,1.0,0.0,0,0.0,5.0
91.0,88.0,71.0,80.0,193.0,14.0,2020.0,1294.0,172.0,8.0,0,0,0,2.0,0.0,0,0.0,5.0
89.0,81.0,68.0,73.0,6.0,14.0,2020.0,1500.0,22.0,8.0,0,0,0,1.0,0.0,0,0.0,5.0
76.0,82.0,62.0,65.0,78.0,14.0,2020.0,1513.0,144.0,8.0,0,0,0,1.0,0.0,0,2.0,4.0
69.0,75.0,52.0,59.0,87.0,14.0,2020.0,993.0,283.0,12.0,0,0,0,1.0,0.0,0,0.0,3.0
84.0,86.0,69.0,83.0,91.0,5.0,2020.0,2030.0,9.0,6.0,0,0,0,0.0,0.0,0,2.0,5.0
82.0,85.0,63.0,87.0,107.0,11.0,2020.0,1847.0,290.0,5.0,0,0,0,1.0,0.0,0,0.0,5.0
85.0,85.0,71.0,79.0,110.0,11.0,2020.0,2408.0,103.0,5.0,0,0,0,1.0,0.0,0,2.0,5.0
92.0,88.0,71.0,80.0,193.0,14.0,2020.0,1294.0,18.0,8.0,0,0,0,2.0,0.0,0,0.0,5.0
87.0,83.0,80.0,76.0,77.0,14.0,2020.0,1246.0,143.0,8.0,0,0,0,0.0,0.0,0,2.0,5.0
91.0,87.0,68.0,73.0,129.0,12.0,2020.0,1675.0,181.0,8.0,0,0,0,0.0,0.0,0,0.0,5.0
87.0,89.0,71.0,88.0,226.0,14.0,2020.0,1857.0,147.0,8.0,0,0,0,1.0,0.0,0,2.0,5.0
86.0,81.0,78.0,85.0,218.0,14.0,2020.0,1175.0,273.0,8.0,0,0,0,1.0,0.0,0,0.0,5.0
95.0,91.0,78.0,74.0,145.0,11.0,2019.0,2090.0,110.0,10.0,0,0,0,0.0,0.0,0,0.0,5.0
96.0,90.0,79.0,75.0,133.0,11.0,2019.0,1635.0,132.0,10.0,0,0,0,0.0,0.0,0,0.0,5.0
97.0,90.0,81.0,75.0,144.0,11.0,2019.0,2040.0,109.0,10.0,0,0,0,0.0,0.0,0,0.0,5.0
96.0,80.0,93.0,72.0,19.0,1.0,2019.0,1530.0,43.0,2.0,0,0,0,0.0,0.0,0,0.0,5.0
97.0,83.0,93.0,72.0,19.0,2.0,2019.0,1530.0,44.0,2.0,0,0,0,0.0,0.0,0,0.0,5.0
96.0,83.0,75.0,74.0,182.0,14.0,2019.0,1243.0,56.0,10.0,0,0,0,1.0,0.0,0,2.0,5.0
73.0,70.0,45.0,55.0,0.0,11.0,2019.0,1750.0,253.0,11.0,0,0,0,1.0,0.0,0,0.0,3.0
93.0,87.0,71.0,73.0,13.0,11.0,2019.0,2220.0,215.0,4.0,0,0,0,1.0,0.0,0,0.0,5.0
94.0,84.0,77.0,74.0,65.0,11.0,2019.0,1314.0,208.0,12.0,0,0,0,1.0,0.0,0,0.0,5.0
92.0,81.0,64.0,76.0,120.0,11.0,2019.0,1489.0,142.0,10.0,0,0,0,1.0,0.0,0,0.0,5.0
90.0,85.0,64.0,70.0,123.0,11.0,2019.0,1491.0,275.0,8.0,0,0,0,1.0,0.0,0,0.0,5.0
94.0,85.0,81.0,73.0,154.0,14.0,2019.0,1212.0,157.0,10.0,0,0,0,1.0,0.0,0,0.0,5.0
81.0,83.0,46.0,55.0,235.0,14.0,2019.0,1164.0,190.0,12.0,0,0,0,1.0,0.0,0,0.0,3.0
95.0,89.0,76.0,78.0,224.0,14.0,2019.0,1316.0,137.0,8.0,0,0,0,1.0,0.0,0,2.0,5.0
81.0,83.0,46.0,55.0,235.0,14.0,2019.0,1164.0,261.0,12.0,0,0,0,1.0,0.0,0,0.0,3.0
81.0,83.0,46.0,55.0,235.0,14.0,2019.0,1164.0,73.0,12.0,0,0,0,1.0,0.0,0,0.0,3.0
94.0,87.0,76.0,72.0,16.0,14.0,2019.0,1480.0,35.0,8.0,0,0,0,1.0,0.0,0,0.0,5.0
92.0,86.0,71.0,72.0,12.0,11.0,2019.0,2165.0,214.0,4.0,0,0,0,1.0,0.0,0,0.0,5.0
92.0,86.0,82.0,73.0,61.0,11.0,2019.0,1769.0,171.0,10.0,0,0,0,1.0,0.0,0,0.0,5.0
96.0,87.0,70.0,73.0,62.0,12.0,2019.0,1852.0,25.0,2.0,0,0,0,0.0,0.0,0,0.0,5.0
82.0,84.0,55.0,58.0,98.0,8.0,2019.0,1484.0,219.0,11.0,0,0,0,1.0,0.0,0,0.0,3.0
91.0,84.0,62.0,68.0,166.0,11.0,2019.0,1216.0,37.0,10.0,0,0,0,1.0,0.0,0,2.0,4.0
93.0,84.0,73.0,73.0,167.0,11.0,2019.0,1216.0,38.0,10.0,0,0,0,1.0,0.0,0,2.0,5.0
85.0,83.0,70.0,73.0,175.0,6.0,2019.0,2162.0,246.0,1.0,0,0,0,0.0,0.0,0,2.0,5.0
96.0,83.0,75.0,74.0,182.0,14.0,2019.0,1243.0,78.0,10.0,0,0,0,1.0,0.0,0,2.0,5.0
89.0,78.0,59.0,62.0,230.0,10.0,2019.0,1709.0,230.0,3.0,0,0,0,0.0,0.0,0,2.0,4.0
97.0,91.0,80.0,78.0,198.0,11.0,2019.0,1678.0,126.0,10.0,0,0,0,0.0,0.0,0,0.0,5.0
98.0,81.0,72.0,94.0,208.0,11.0,2019.0,2460.0,2.0,4.0,0,0,0,1.0,0.0,0,0.0,5.0
89.0,78.0,59.0,62.0,230.0,10.0,2019.0,1709.0,230.0,3.0,0,0,0,0.0,0.0,0,2.0,4.0
92.0,88.0,73.0,79.0,252.0,12.0,2019.0,1313.0,200.0,2.0,0,0,0,2.0,0.0,0,0.0,5.0
87.0,86.0,61.0,76.0,56.0,11.0,2019.0,2518.0,124.0,4.0,0,0,0,1.0,0.0,0,0.0,5.0
99.0,86.0,80.0,77.0,118.0,11.0,2019.0,1420.0,76.0,10.0,0,0,0,0.0,0.0,0,0.0,5.0
